Exchange,Product Name,Product Symbol,Alternate Symbol,Product Type,Asset Class,Sub-Asset Class,Currency,Market Data Channel
EEX,CEGH NAT. GAS MONTH FUT,G8BM,,Future,,,EUR,EEX Derivatives
EEX,NR ZEE NATURAL GAS MONTH,HABM,,Future,,,GBX,EEX Derivatives
Euronext_DEV,ARCELORMITTAL (size 29),MTO,,Option,,,EUR,ALL
Euronext_DEV,Saint Gobain European,SG3,,Option,,,EUR,ALL
Euronext_DEV,AMG N.V.,AMG,,Option,,,EUR,ALL
Euronext_DEV,,CA,,Common Stock,,,EUR,ALL
Euronext_DEV,,ING,,Common Stock,,,EUR,ALL
Euronext_DEV,,DG,,Common Stock,,,EUR,ALL
Euronext_DEV,,KBC,,Common Stock,,,EUR,ALL
Euronext_DEV,,XFC,,Common Stock,,,EUR,ALL
Eurex,5TH FRIDAY OPT EON,EOA5,,Spread,Equities,Single stock,,ALL
Eurex,5TH FRIDAY INTESA SANP.,INW5,,Option,Equities,Single stock,EUR,ALL
Eurex,1ST FRIDAY INDITEX,IXD1,,Option,Equities,Single stock,EUR,ALL
Euronext_DEV,Celyad - Stnd Option,CAR,,Option,,,EUR,ALL
Eurex,2ND FRIDAY INDITEX,IXD2,,Option,Equities,Single stock,EUR,ALL
Euronext_DEV,LVMH (100),MC1,,Option,,,EUR,ALL
Euronext_DEV,,UMI,,Common Stock,,,EUR,ALL
Euronext_DEV,RELX NV,REN,,Option,,,EUR,ALL
Eurex,5TH FRIDAY LVMH,MOW5,,Option,Equities,Single stock,EUR,ALL
Euronext_DEV,Umicore,UMC,,Option,,,EUR,ALL
Eurex,4TH FRIDAY INTESA SANP.,INW4,,Option,Equities,Single stock,EUR,ALL
Euronext_DEV,,BES,,Common Stock,,,EUR,ALL
Eurex,1ST FRIDAY ANHEUSER-BU.,ITW1,,Option,Equities,Single stock,EUR,ALL
Euronext_DEV,CNP Assurances (100),CN1,,Option,,,EUR,ALL
Euronext_DEV,,MC,,Common Stock,,,EUR,ALL
Euronext_DEV,,ELI,,Common Stock,,,EUR,ALL
Euronext_DEV,,DSY,,Common Stock,,,EUR,ALL
Euronext_DEV,,PA1,,Common Stock,,,EUR,ALL
Eurex,5TH FRIDAY ANHEUSER-BU.,ITW5,,Option,Equities,Single stock,EUR,ALL
Eurex,4TH FRIDAY INDITEX,IXD4,,Option,Equities,Single stock,EUR,ALL
Euronext_DEV,,ISF,,Common Stock,,,EUR,ALL
Euronext_DEV,,AP,,Common Stock,,,EUR,ALL
Euronext_DEV,,SBM,,Common Stock,,,EUR,ALL
Eurex,5TH FRIDAY INDITEX,IXD5,,Option,Equities,Single stock,EUR,ALL
Euronext_DEV,,ZP1,,Common Stock,,,EUR,ALL
Euronext_DEV,,RC6,,Common Stock,,,EUR,ALL
Euronext_DEV,,ARK,,Common Stock,,,EUR,ALL
Eurex,1ST FRIDAY MUENCH.RUECK,MUE1,,Option,Equities,Single stock,EUR,ALL
